상품번호,상품명,최소인원,교통편,지
154,[후지산 골프] 시즈오카 후카쿠 CC & 호텔 품격 골프 3일 (54홀),2인,불포함|자유항공|항공포함요금,인천 / 김해 
153,[5성급 힐튼 스테이] 품격 있는 샤먼 골프 & 마사지 힐링 패키지 (2인 출발 가능) 3박4일,2인,항공 포함,인천 
152,[5성급 온천골프] 푸저우 메리어트 리버사이드 & 온천/신동양/해협CC 3박 4일,2인,항공 포함,인천 
151,[청도 골프]중국 청도 캐슬렉스 CC골 – 36홀+18홀 라운딩 & 클럽 조/중식 포함,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
150,일본 히로시마 하쿠류코 온천 리조트 & 다케하라/혼고 CC 4일,2인,불포함|자유항공|항공포함요금,인천 
149,[히로시마 온천 골프] 일본 히로시마 하쿠류코 온천 리조트 & 다케하라/혼고 CC 4일,2인,불포함|자유항공|항공포함요금,인천 
148,[시원한 고원골프]태국 카오야이 보난자 CC 3박 5일 전일정 체류형 골프,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
147,[아시아 TOP 10]태국 명문 아마타 스프링 CC + 품격 있는 골프,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
146,[정통온천/명문라운드] 유후인 시키사이 화양실 투숙 & 아마가세/유후고겐 2색 투어,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
145,[기타큐슈 골프] 일본 번화가 기타큐슈 8대 명문구장 순례 & 자유 관광 골프 3일/4일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
144,[치바 골프]일본 치바 유이가든 리조트 & 신치바/히가시치바 CC 3일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
143,[시즈오카 컨트리 하마오카] 일본 시즈오카 올인원 골프텔 - 태평양을 품은 럭셔리 라운드 3일,2인,불포함|자유항공|항공포함요금,인천 / 김해 
141,[북해도 명문투어] 삿포로 JR타워 닛코 호텔 & 니도무/브룩스/고젠스이 3색 골프 4일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
140,[대만 힐링 골프] 화롄 CC 54홀 집중 라운드 & 파크뷰 호텔 미식 여행,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
139,"[도쿄 근교/명문라운딩] 치바 리소루노모리 리조트, 치바 만나 CC & 온천 골프",2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
137,대만 가오슝 한센 3박4일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
136,[5성급+명문라운딩] 중국 제남 고운호 CC & 윈덤 가든 호텔 프리미엄 골프 3일,2인,항공 포함,인천 
135,[후지산 골프여행] 시즈오카 골프 후지 클래식 CC & 호텔 – 전 홀 후지산 뷰 힐링 라운드,2인,불포함|자유항공|항공포함요금,인천 / 김해 
133,[구마모토 골프] 일본 구마모토 아카미즈 골프 리조트,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
132,[연태 골프] 중국 골프 가볍게 떠나는 (호텔식+주류무제한),2인,항공 포함,인천 
129,[온천힐링/2색골프] 후쿠오카 하나게시키 온천호텔 & 상급 구장 라운드,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
128,0312 후쿠오카 개인 결제창 - 계약금,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
126,[하이난 골프]하이난 신주 페닌슐라 G.C + 홀리데이 인 리조트 3박/4박,2인,항공 포함,김해 
125,[해남도 골프]중국 하이난 칠선령 세븐힐스,2인,항공 포함,김해 
124,[고베 명문골프]일본 골프 롯코국제GC+호텔오쿠라고베 2박3일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
123,[나라 골프]일본 오사카 근교 나라 소도시 온천 골프여행,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
122,[구마모토 골프]일본 료칸 골프여행｜아유노사토 온천 다색 골프,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
121,하이난 루페드 3색 골프 개인 결제창,2인,항공 포함,김해 
119,[구마모토 골프]일본 온천 골프여행 (아소스카이블루CC),2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
118,구마모토 트라이얼 아소 코스 개인 결제창,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
117,잔금 결제건,2인,항공 포함,인천 / 김해 
116,일본 오사카 골프투어｜3대 명문코스 라운딩,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
115,[나트랑 골프]베트남 장박 독채빌라 골프여행,2인,항공 포함,인천 / 김해 / 청주
114,[벳부 골프]일본 온천 골프 2박3일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
113,[하이난] 강락원+라마다호텔 특가,2인,항공 포함,김해 
110,[구마모토 골프여행]일본 구마모토 시내 골프 패키지,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
109,[구마모토 골프]일본 프리미엄 골프여행 - 아소 캐니언 36홀,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
108,[부산출발 중국 골프]하이난 청수만 홀리데이 골프여행,2인,항공 포함,김해 
107,[남경 골프]중국 골프 여행 태양도CC + 신세계호텔 + 아시아나 직항,2인,항공 포함,인천 / 김해 
106,[마쓰야마 시티골프] 가성비 3성급 호텔 숙박 & 명문 3색(로얄/쿠마 등),2인,불포함|자유항공|항공포함요금,인천 / 김해 
105,[미야자키 리조트 골프] ANA 홀리데이 인 숙박 & 아오시마 G.C. 온천 힐링 패키지,2인,불포함|자유항공|항공포함요금,인천 
104,[미야자키 시티골프] 마이스테이즈 호텔 & 명문 3색(썬샤인/국제 등) 골프 2박,2인,불포함|자유항공|항공포함요금,인천 
103,"[푸저우 골프] 쉐라톤 호텔 숙박 & 명문 3색(마조,신동양,해협) 골프 3박 54홀",2인,항공 포함,인천 
102,[오키나와 시티골프] 나하 중심 휴이트 리조트 & 팜힐즈/오션캐슬/오키나와 C.C. 3색 골프,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
101,[오키나와 골프] 라구나가든 호텔 명문 츄라오차드/오션캐슬/오키나와 C.C. 3박 4일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
